sources,target,author,date,statement,processed_statement
Viral image,0,Ciara O'Rourke,"September 13, 2023","“Over 1,000 missing children in Maui.”",over missing children in maui
Viral image,0,Ciara O'Rourke,"September 13, 2023",“Shocking video shows Biden wearing a skin mask.”,shocking video shows biden wearing a skin mask
Instagram posts,0,Ciara O'Rourke,"September 13, 2023",A new photo shows Queen Elizabeth II on the day she died.,a new photo shows queen elizabeth ii on the day she died
Instagram posts,0,Sara Swann,"September 13, 2023",Video shows Hawaiians being evicted after Maui wildfires.,video shows hawaiians being evicted after maui wildfires
Facebook posts,0,Marta Campabadal,"• September 13,",Este video muestra una “fábrica de carne” humana “en America”.,este video muestra una f brica de carne humana en america
TikTok posts,0,Ciara O'Rourke,"September 13, 2023",“Congress say they will start printing 2024 ballot without Trump name in October 2023.”,congress say they will start printing ballot without trump name in october
Kevin McCarthy,0,Louis Jacobson,"September 13, 2023",On moving forward with an impeachment inquiry into President Joe Biden with a House vote.,on moving forward with an impeachment inquiry into president joe biden with a house vote
Joe Biden,0,Louis Jacobson,"September 12, 2023",“Ground zero in New York — I remember standing there the next day.”,ground zero in new york i remember standing there the next day
Instagram posts,0,Jeff Cercone,"September 12, 2023","""Modified mosquitoes have officially made it to Ohio.”",modified mosquitoes have officially made it to ohio
Instagram posts,0,Sara Swann,"September 12, 2023",Video shows a missile hitting the Pentagon on 9/11.,video shows a missile hitting the pentagon on
Facebook posts,0,Ciara O'Rourke,"September 11, 2023",CNN reported that “Barack Obama’s ex-boyfriend admits he was ‘prime suspect’ in gay serial killer case.”,cnn reported that barack obama s ex boyfriend admits he was prime suspect in gay serial killer case
Facebook posts,0,Sara Swann,"September 11, 2023",A FEMA office in Chicago is proof of a conspiracy.,a fema office in chicago is proof of a conspiracy
Facebook posts,0,Ciara O'Rourke,"September 11, 2023",Elon Musk said President Joe Biden “has one month left to live.”,elon musk said president joe biden has one month left to live
Viral image,0,Ciara O'Rourke,"September 11, 2023",Video shows Pope Francis slapping former President Donald Trump’s hand.,video shows pope francis slapping former president donald trump s hand
Instagram posts,0,Ciara O'Rourke,"September 8, 2023",Video shows “someone who tried to escape Burning Man.”,video shows someone who tried to escape burning man
Facebook posts,0,Ciara O'Rourke,"September 8, 2023",“CNN just said Cash App went bankrupt and any funds you had in your account would have to be awarded to you through bankruptcy court.”,cnn just said cash app went bankrupt and any funds you had in your account would have to be awarded to you through bankruptcy court
Facebook posts,0,Loreben Tuquero,"September 8, 2023","CNN reported Sept. 7, 2023, that President Joe Biden’s family admitted “he died and was replaced by an actor in 2019.”",cnn reported sept that president joe biden s family admitted he died and was replaced by an actor in
Thom Tillis,1,Paul Specht,"September 8, 2023","A Democrat-sponsored bill proposes a “1,000% gun tax on most firearms.”",a democrat sponsored bill proposes a gun tax on most firearms
Chris Christie,1,Samantha Putterman,"September 8, 2023","Under Gov. Ron DeSantis, “in the last five years, spending has gone up 30%"" in Florida.",under gov ron desantis in the last five years spending has gone up in florida
LaKeshia Myers,1,D.L. Davis,"September 8, 2023","During the spring 2020 election in Milwaukee, a reduction to only five polling locations “came days before the election and was done without proper notice to voters.”",during the spring election in milwaukee a reduction to only five polling locations came days before the election and was done without proper notice to voters
Instagram posts,0,Ciara O'Rourke,"September 7, 2023",Video shows President Joe Biden confirmed “the Lahaina fires were planned.”,video shows president joe biden confirmed the lahaina fires were planned
Isabel Brown,0,Louis Jacobson,"September 7, 2023",Americans “currently are making less than at the height of the Great Depression.”,americans currently are making less than at the height of the great depression
Social Media,0,Loreben Tuquero,"September 7, 2023",A video shows Florida Gov. Ron DeSantis dropping out of the 2024 presidential race.,a video shows florida gov ron desantis dropping out of the presidential race
Facebook posts,0,Ciara O'Rourke,"September 6, 2023",“Barack Obama’s late chef’s wife comes out to expose Obama family.”,barack obama s late chef s wife comes out to expose obama family
Facebook posts,0,Ciara O'Rourke,"September 6, 2023",“Joan Rivers’ daughter threatens to expose Michelle Obama.”,joan rivers daughter threatens to expose michelle obama
Facebook posts,0,Ciara O'Rourke,"September 6, 2023",Video shows Clearwater Beach during Hurricane Idalia.,video shows clearwater beach during hurricane idalia
Facebook posts,0,Samantha Putterman,"September 6, 2023",A new Florida law says “a father must submit a DNA test before signing the birth certificates.”,a new florida law says a father must submit a dna test before signing the birth certificates
Instagram posts,0,Madison Czopek,"September 6, 2023",“Burning Man was a national emergency because it was flooded.”,burning man was a national emergency because it was flooded
Instagram posts,1,Grace Abels,"September 6, 2023","“Norway, Finland, Sweden, Holland, and the UK have now banned gender transition surgery for minors.”",norway finland sweden holland and the uk have now banned gender transition surgery for minors
Facebook posts,0,Madison Czopek,"September 5, 2023","The WHO is developing a pandemic treaty that will remove current human rights protections, enforce surveillance and censorship and eliminate freedom of speech.",the who is developing a pandemic treaty that will remove current human rights protections enforce surveillance and censorship and eliminate freedom of speech
Debbie Mucarsel-Powell,1,Marta Campabadal,"• September 5,",Sen. Rick Scott “wants to … end Social Security and Medicare coverage.”,sen rick scott wants to end social security and medicare coverage
Roy Cooper,0,Paul Specht,"September 1, 2023",GOP-authored elections bill “requires valid votes to be tossed out … if a computer rejects a signature.”,gop authored elections bill requires valid votes to be tossed out if a computer rejects a signature
Ted Cruz,0,Sarah Bahari,"September 1, 2023","""(President Joe) Biden is trying to limit you to two beers per week.”",president joe biden is trying to limit you to two beers per week
Instagram posts,0,Jeff Cercone,"September 1, 2023",Bill Gates-funded research into genetically engineered cattle ticks is responsible for red-meat allergies from alpha-gal syndrome in the U.S.,bill gates funded research into genetically engineered cattle ticks is responsible for red meat allergies from alpha gal syndrome in the you s
Joe Biden,1,Louis Jacobson,"September 1, 2023","U.S. inflation is ""now down close to 3%, the lowest among the world’s leading economies.""",you s inflation is now down close to the lowest among the world s leading economies
Facebook posts,0,Loreben Tuquero,"September 1, 2023",Photos are evidence of “satanism in public schools.”,photos are evidence of satanism in public schools
Facebook posts,0,Maria Briceño,"September 1, 2023","""Las naves extraterrestres se camuflan con nubes sobre la nave”.",las naves extraterrestres se camuflan con nubes sobre la nave
Joe Biden,1,Louis Jacobson,"August 31, 2023","“According to the Congressional Budget Office,” the Inflation Reduction Act “will save the federal government $160 billion over the next 10 years because Medicare will be paying less for the prescription drugs they’re making available to seniors.”",according to the congressional budget office the inflation reduction act will save the federal government billion over the next years because medicare will be paying less for the prescription drugs they are making available to seniors
Travis Tritt,0,Sara Swann,"August 31, 2023","When elected Georgia governor in 2018, “Brian Kemp was over $7 million in debt.” Kemp “cut a deal” to select Dominion Voting Systems as Georgia’s voting machine vendor and “has never been in debt since.”",when elected georgia governor in brian kemp was over million in debt kemp cut a deal to select dominion voting systems as georgia s voting machine vendor and has never been in debt since
Facebook posts,0,Madison Czopek,"August 31, 2023",“We have over a million people right now that are under emergency travel restrictions … and this is due to poison being released into the air.”,we have over a million people right now that are under emergency travel restrictions and this is due to poison being released into the air
Instagram posts,0,Loreben Tuquero,"August 31, 2023",Canadian Prime Minister Justin Trudeau announced that the government is passing the “Digital Existence Act” in response to the new COVID-19 variant.,canadian prime minister justin trudeau announced that the government is passing the digital existence act in response to the new covid variant
Viral image,0,Ciara O'Rourke,"August 31, 2023",Video shows interview with Elon Musk about making “passive income” with “Quantum AI.”,video shows interview with elon musk about making passive income with quantum ai
Viral image,0,Ciara O'Rourke,"August 31, 2023",CBS reported on Oprah Winfrey reacting “to getting cancelled for stealing land amid Maui fires.”,cbs reported on oprah winfrey reacting to getting cancelled for stealing land amid maui fires
Instagram posts,0,Jeff Cercone,"August 30, 2023",Fox News chyron called University of North Carolina shooting suspect “mostly white Asian.”,fox news chyron called university of north carolina shooting suspect mostly white asian
TikTok posts,0,Sara Swann,"August 30, 2023",“Marines caught FEMA operatives piling corpses into a mass gravesite at the Maui Forest Reserve.”,marines caught fema operatives piling corpses into a mass gravesite at the maui forest reserve
Facebook posts,0,Jeff Cercone,"August 30, 2023",Speaker at World Economic Forum conference proposed adding COVID-19 vaccines to water supply.,speaker at world economic forum conference proposed adding covid vaccines to water supply
Facebook posts,0,Tom Kertscher,"August 30, 2023",Video suggests Canada wildfires were deliberately set to advance “smart cities” push.,video suggests canada wildfires were deliberately set to advance smart cities push
Viral image,0,Ciara O'Rourke,"August 30, 2023",“CDC says new COVID variant is more contagious among vaccinated people than those unvaccinated.”,cdc says new covid variant is more contagious among vaccinated people than those unvaccinated
Facebook posts,0,Ciara O'Rourke,"August 30, 2023","President Joe Biden is going to trial for “treason,” “sedition” and “crimes against humanity.”",president joe biden is going to trial for treason sedition and crimes against humanity
Facebook posts,0,Ciara O'Rourke,"August 30, 2023",The mothers of Major League Soccer players “file complaint against Leo Messi.”,the mothers of major league soccer players file complaint against leo messi
Facebook posts,0,Ciara O'Rourke,"August 30, 2023","“Personas poderosas ricas … pintaron los techos” de sus casas de color azul para que no se dañaran durante los incedios forestales en Maui, Hawai.",personas poderosas ricas pintaron los techos de sus casas de color azul para que no se da aran durante los incedios forestales en maui hawai
Facebook posts,0,Ciara O'Rourke,"August 30, 2023",Video shows former first lady Michelle Obama “accidentally reveals what really happened to their chef.”,video shows former first lady michelle obama accidentally reveals what really happened to their chef
Facebook posts,0,Loreben Tuquero,"August 30, 2023","Video shows the state of “Great Britain now,” with “78,000 people under the water.”",video shows the state of great britain now with people under the water
Facebook posts,0,Marta Campabadal,"• August 30,","""Surfistas en California aprovechan las fuertes marejadas del Huracán Hilary, para sus prácticas deportivas"".",surfistas en california aprovechan las fuertes marejadas del hurac n hilary para sus pr cticas deportivas
Facebook posts,0,Maria Briceño,"August 30, 2023","La Proposición 47 en California dice ""cualquier persona que trate de robar artículos con un valor menos de $950 no serán llevados a la cárcel, ni serán penados por ningún tipo de ley"".",la proposici n en california dice cualquier persona que trate de robar art culos con un valor menos de no ser n llevados a la c rcel ni ser n penados por ning n tipo de ley
Viral image,0,Ciara O'Rourke,"August 29, 2023",Photo shows someone stealing less than $950 of goods in California.,photo shows someone stealing less than of goods in california
Facebook posts,0,Ciara O'Rourke,"August 29, 2023",“Shots fired T.L Hanna High School 1 seriously injured.”,shots fired t l hanna high school seriously injured
Instagram posts,0,Tom Kertscher,"August 29, 2023","Women vaccinated against COVID-19 face ""unknown side effects that could perpetually go down through the lineage"" to their children.",women vaccinated against covid face unknown side effects that could perpetually go down through the lineage to their children
Facebook posts,0,Ciara O'Rourke,"August 29, 2023",Tafari Campbell was “murdered.”,tafari campbell was murdered
Mike Pence,1,Louis Jacobson,"August 29, 2023","""I actually pushed the Deficit Reduction Act. That was the last time we actually reduced the national debt in the United States, when I was the leader of House conservatives.""",i actually pushed the deficit reduction act that was the last time we actually reduced the national debt in the united states when i was the leader of house conservatives
Facebook posts,0,Marta Campabadal,"• August 29,",El libro “Fire & Fury” “salió un día después del fuego en Hawaii … Esto es más evidencia de que todo fue planificado”.,el libro fire fury sali un d a despu s del fuego en hawaii esto es m s evidencia de que todo fue planificado
Facebook posts,0,Tom Kertscher,"August 29, 2023","As of Aug. 25, ""Luis Rubiales has resigned as the president of the Spanish Football Federation.""",as of august luis rubiales has resigned as the president of the spanish football federation
Instagram posts,0,Jeff Cercone,"August 29, 2023","""America’s C40 cities will ban meat, dairy, new clothes, private cars by 2030.”",america s c cities will ban meat dairy new clothes private cars by
Vivek Ramaswamy,0,Louis Jacobson,"August 29, 2023","Vice President Mike Pence on Jan. 6, 2021, could have approved the 2020 electoral votes on the condition that Congress pass an overhaul of election law.",vice president mike pence on january could have approved the electoral votes on the condition that congress pass an overhaul of election law
Instagram posts,0,Ciara O'Rourke,"August 28, 2023",“Oprah started the fire.”,oprah started the fire
Facebook posts,0,Ciara O'Rourke,"August 28, 2023",“Mom of Barack Obama’s chef speaks out to expose Obama family.”,mom of barack obama s chef speaks out to expose obama family
Instagram posts,0,Ciara O'Rourke,"August 28, 2023",“183 bodies have washed up on Lanai.”,bodies have washed up on lanai
Facebook posts,0,Ciara O'Rourke,"August 28, 2023",“Judge Cannon been ordered to DISQUALIFY herself in Trump's case.”,judge cannon been ordered to disqualify herself in trump s case
Facebook posts,0,Jeff Cercone,"August 28, 2023","""Malaysian doctor put to death for giving COVID injection under the (Nuremberg) Code.”",malaysian doctor put to death for giving covid injection under the nuremberg code
Instagram posts,0,Tom Kertscher,"August 28, 2023","The World Health Organization said there is ""a possible causal relationship"" between COVID-19 vaccines and multiple sclerosis.",the world health organization said there is a possible causal relationship between covid vaccines and multiple sclerosis
Facebook posts,0,Maria Briceño,"August 28, 2023",El COVID-19 “nunca existio”.,el covid nunca existio
Facebook posts,0,Maria Briceño,"August 25, 2023",FEMA and Red Cross are “confiscating” donations meant for Hawaii wildfire victims.,fema and red cross are confiscating donations meant for hawaii wildfire victims
Facebook posts,0,Jeff Cercone,"August 25, 2023",Smart-city plans are behind wildfires in Tenerife.,smart city plans are behind wildfires in tenerife
Instagram posts,0,Loreben Tuquero,"August 25, 2023",“Fauci declares that all unvaccinated citizens must be locked down this winter.”,fauci declares that all unvaccinated citizens must be locked down this winter
Viral image,0,Ciara O'Rourke,"August 25, 2023",“Trump says Biden is an alien.”,trump says biden is an alien
Viral image,0,Ciara O'Rourke,"August 25, 2023",Fox News reported that California Gov. Gavin Newsom said former President Donald Trump “is not eligible for future presidential elections & has asked the California’s State Assembly to pass a bill that will remove Trump’s name on any future ballots.”,fox news reported that california gov gavin newsom said former president donald trump is not eligible for future presidential elections has asked the california s state assembly to pass a bill that will remove trump s name on any future ballots
Facebook posts,0,Grace Abels,"August 25, 2023","Hillary Clinton was “EXECUTED December 31, 2018.”",hillary clinton was executed december
Viral image,0,Ciara O'Rourke,"August 25, 2023",Celebrities are “painting their Maui properties the same weird shade of blue.”,celebrities are painting their maui properties the same weird shade of blue
Facebook posts,0,Grace Abels,"August 25, 2023",Lucky Charms contains an unsafe amount of cleaning compound trisodium phosphate.,lucky charms contains an unsafe amount of cleaning compound trisodium phosphate
TikTok posts,0,Maria Briceño,"August 25, 2023","El incendio forestal en Maui, Hawai, fue provocado por un arma ""láser"" para crear una nueva ciudad tecnológica.",el incendio forestal en maui hawai fue provocado por un arma l ser para crear una nueva ciudad tecnol gica
Facebook posts,0,Ciara O'Rourke,"August 24, 2023",Former President Barack Obama “reacts to chef’s wife blaming him for the death of her husband Talafi Cambell.”,former president barack obama reacts to chef s wife blaming him for the death of her husband talafi cambell
Facebook posts,0,Ciara O'Rourke,"August 24, 2023",“Military arrests FEMA Deputy Administrator Erik Hooks.”,military arrests fema deputy administrator erik hooks
Vivek Ramaswamy,0,Jeff Cercone,"August 24, 2023",“The reality is more people are dying of bad climate change policies than they are of actual climate change.”,the reality is more people are dying of bad climate change policies than they are of actual climate change
Instagram posts,0,Ciara O'Rourke,"August 24, 2023",U.S. Navy SEALs rescued 807 children who were being kept as sex slaves on a barge in San Francisco Bay.,you s navy seals rescued children who were being kept as sex slaves on a barge in san francisco bay
Viral image,0,Ciara O'Rourke,"August 24, 2023",“New global virus called ID-10T is spreading quickly.”,new global virus called id t is spreading quickly
Facebook posts,0,Loreben Tuquero,"August 24, 2023","“There has been zero response from local, regional or federal officials” to aid people affected by the Maui, Hawaii, wildfires.",there has been zero response from local regional or federal officials to aid people affected by the maui hawaii wildfires
Instagram posts,0,Ciara O'Rourke,"August 24, 2023",Images of blue things that weren’t burned in Hawaii are evidence directed energy weapons started the wildfires there.,images of blue things that were not burned in hawaii are evidence directed energy weapons started the wildfires there
Instagram posts,0,Ciara O'Rourke,"August 24, 2023",“Marines neutralize fleeing FEMA convoy in Maui.”,marines neutralize fleeing fema convoy in maui
Facebook posts,0,Tom Kertscher,"August 23, 2023","Video shows military planes over Nashville ""dispersing materials into the atmosphere"" for geoengineering.",video shows military planes over nashville dispersing materials into the atmosphere for geoengineering
Instagram posts,0,Ciara O'Rourke,"August 22, 2023","Images of burned cars in Lahaina, Hawaii, are evidence wildfires there were started by directed energy weapons.",images of burned cars in lahaina hawaii are evidence wildfires there were started by directed energy weapons
TikTok posts,0,Jeff Cercone,"August 22, 2023","""Los Angeles Dodgers Stadium is flooded after mocking God!”",los angeles dodgers stadium is flooded after mocking god
TikTok posts,0,Ciara O'Rourke,"August 22, 2023","Maui, Hawaii, police chief arrests “witnesses” in part of wildfire cover-up.",maui hawaii police chief arrests witnesses in part of wildfire cover up
Social Media,0,Loreben Tuquero,"August 22, 2023","A video showed President Joe Biden falling asleep during an event with the Maui, Hawaii, wildfire survivors and families.",a video showed president joe biden falling asleep during an event with the maui hawaii wildfire survivors and families
Facebook posts,0,Ciara O'Rourke,"August 22, 2023",Video shows “articles of impeachment to be filed against President Joe Biden today!”,video shows articles of impeachment to be filed against president joe biden today
Mike Pence,1,Amy Sherman,"August 22, 2023",“After China sent a balloon over strategic sites in the United States … President Biden literally sent the secretary of state hat in hand to go kowtow and ask for a meeting.”,after china sent a balloon over strategic sites in the united states president biden literally sent the secretary of state hat in hand to go kowtow and ask for a meeting
Facebook posts,0,Tom Kertscher,"August 22, 2023",“Official statement — Putin assassinated in the Kremlin!”,official statement putin assassinated in the kremlin
Facebook posts,0,Loreben Tuquero,"August 22, 2023",“WEF admits Maui wildfires orchestrated to transform Hawaii into 15-minute cities.”,wef admits maui wildfires orchestrated to transform hawaii into minute cities
Facebook posts,0,Maria Briceño,"August 22, 2023","La vacuna contra COVID-19 ""contiene óxido de grafeno"" y para desintoxicarte toma ""dióxido de cloro"".",la vacuna contra covid contiene xido de grafeno y para desintoxicarte toma di xido de cloro
Facebook posts,0,Ciara O'Rourke,"August 21, 2023",“Michelle Obama finally responds to Obama’s hidden gay secret.”,michelle obama finally responds to obama s hidden gay secret
Joe Biden,1,Louis Jacobson,"August 21, 2023",“A higher percentage of American workers are working today than ever before.”,a higher percentage of american workers are working today than ever before
Instagram posts,0,Marta Campabadal,"• August 18,","""Hawaii is being attacked by direct energy weapons.""",hawaii is being attacked by direct energy weapons
Donald Trump,0,Amy Sherman,"August 18, 2023","Fulton County District Attorney Fani Willis “campaigned and raised money on, ‘I will get Trump.’”",fulton county district attorney fani willis campaigned and raised money on i will get trump
Social Media,0,Loreben Tuquero,"August 17, 2023",A book published Aug. 10 about the Maui wildfires is proof the wildfires were planned.,a book published august about the maui wildfires is proof the wildfires were planned
Joe Biden,0,Louis Jacobson,"August 17, 2023",“I’ve already” declared a national climate emergency,i have already declared a national climate emergency
Maria Bartiromo,0,Sara Swann,"August 17, 2023",“The FDA is now saying that it’s OK to take ivermectin if you have COVID.”,the fda is now saying that it is ok to take ivermectin if you have covid
Facebook posts,0,Tom Kertscher,"August 16, 2023","""The federal government has just declared a major food shortage emergency"" in six states.",the federal government has just declared a major food shortage emergency in six states
Instagram posts,0,Jeff Cercone,"August 16, 2023","Video shows Hawaii Gov. Josh Green “wants to turn Lahaina Maui into state lands. All planned for smart city.""",video shows hawaii gov josh green wants to turn lahaina maui into state lands all planned for smart city
Instagram posts,0,Loreben Tuquero,"August 16, 2023",“Military arrests Pfizer CEO Albert Bourla.”,military arrests pfizer ceo albert bourla
Mike Pence,1,Matthew Crowley,"August 16, 2023","“In three short years, we achieved energy independence.”",in three short years we achieved energy independence
Facebook posts,0,Madison Czopek,"August 15, 2023","“Wildfires do not completely burn out cars, glass and all, yet leaving nearby trees and utility poles still standing upright.”",wildfires do not completely burn out cars glass and all yet leaving nearby trees and utility poles still standing upright
Instagram posts,1,Ciara O'Rourke,"August 15, 2023","While nearly naked, a member of Mexico’s congress said, “You are ashamed to see me naked, but you are not ashamed to see your people in the streets naked.”",while nearly naked a member of mexico s congress said you are ashamed to see me naked but you are not ashamed to see your people in the streets naked
Instagram posts,0,Jeff Cercone,"August 14, 2023",Maui fires are part of an intentional effort to rebuild the island into a “smart island.”,maui fires are part of an intentional effort to rebuild the island into a smart island
Steve Kirsch,0,Tom Kertscher,"August 14, 2023","COVID-19 vaccines have killed 676,000 Americans.",covid vaccines have killed americans
The Gateway Pundit,0,Sara Swann,"August 14, 2023",Police report shows “massive 2020 voter fraud uncovered in Michigan.”,police report shows massive voter fraud uncovered in michigan
Facebook posts,0,Ciara O'Rourke,"August 14, 2023",“Hiroshima and Nagasaki were never nuked.”,hiroshima and nagasaki were never nuked
Instagram posts,0,Maria Briceño,"August 14, 2023",Bud Light billboard says “lol CRYBABIES”,bud light billboard says lol crybabies
Facebook posts,0,Ciara O'Rourke,"August 14, 2023",Photos show people wearing Ku Klux Klan hoods in the mini-mart owned by someone involved in the Montgomery riverfront brawl.,photos show people wearing ku klux klan hoods in the mini mart owned by someone involved in the montgomery riverfront brawl
Ron DeSantis,1,Samantha Putterman,"August 14, 2023",“We’ve eliminated critical race theory in our K through 12 schools.”,we have eliminated critical race theory in our k through schools
Ron DeSantis,1,Nuria Diaz,"• August 11,","""Illinois is now letting illegal aliens become police officers.""",illinois is now letting illegal aliens become police officers
Citizens Against Government Waste,1,Paul Specht,"August 11, 2023",A bill sponsored by U.S. Sen. Bernie Sanders would “increase government control” of pharmacy benefit managers and is a “radical health care takeover.”,a bill sponsored by you s sen bernie sanders would increase government control of pharmacy benefit managers and is a radical health care takeover
Instagram posts,0,Jeff Cercone,"August 11, 2023",Photos are proof that Hawaii fires were caused by a “direct energy weapon assault on the people.”,photos are proof that hawaii fires were caused by a direct energy weapon assault on the people
Facebook posts,0,Ciara O'Rourke,"August 11, 2023",Fox News reported on “an energy-saving device that can save 90% of electricity” from Elon Musk.,fox news reported on an energy saving device that can save of electricity from elon musk
Bloggers,0,Ciara O'Rourke,"August 11, 2023",The United Nations has warned Christians that if we do not fully accept the legalization of pedophilia that we will be excluded from participating in society.,the united nations has warned christians that if we do not fully accept the legalization of pedophilia that we will be excluded from participating in society
Facebook posts,0,Ciara O'Rourke,"August 11, 2023",BBC News reported that British residents “no longer need to work” thanks to an investment project from Elon Musk.,bbc news reported that british residents no longer need to work thanks to an investment project from elon musk
Bloggers,0,Ciara O'Rourke,"August 10, 2023","“Putin bans 5G across Russia, destroys all towers.”",putin bans g across russia destroys all towers
Facebook posts,0,Jeff Cercone,"August 10, 2023","Video showing celebrities, politicians and other notable figures with black eyes proves they are part of the Illuminati.",video showing celebrities politicians and other notable figures with black eyes proves they are part of the illuminati
Facebook posts,0,Ciara O'Rourke,"August 10, 2023",Country singer Jason Aldean sued “The View” co-host Whoopi Goldberg.,country singer jason aldean sued the view co host whoopi goldberg
Instagram posts,0,Jeff Cercone,"August 9, 2023","""WEF chairman Klaus Schwab openly calls for AI technology to replace Democratic elections!”",wef chairman klaus schwab openly calls for ai technology to replace democratic elections
Charlie Kirk,1,Madison Czopek,"August 9, 2023",Douglass Mackey was convicted “because he made a meme in the 2016 election.”,douglass mackey was convicted because he made a meme in the election
Facebook posts,0,Ciara O'Rourke,"August 9, 2023",“King Charles exposed at Buckingham Palace as ancient reptilian shapeshifter.”,king charles exposed at buckingham palace as ancient reptilian shapeshifter
Viral image,0,Ciara O'Rourke,"August 9, 2023",Golfer John Daly commented on soccer player Megan Rapinoe “choking” during the World Cup.,golfer john daly commented on soccer player megan rapinoe choking during the world cup
Donald Trump,0,Amy Sherman,"August 9, 2023",“They are trying to make it illegal to question the results of a bad election.”,they are trying to make it illegal to question the results of a bad election
Instagram posts,0,Tom Kertscher,"August 9, 2023","California passed a law “reducing penalties for oral, anal sex with willing children.”",california passed a law reducing penalties for oral anal sex with willing children
Donald Trump,1,Maria Ramirez,"• August 9,",The Trump administration “built nearly 500 miles of border wall.”,the trump administration built nearly miles of border wall
Instagram posts,1,Jeff Cercone,"August 9, 2023","""Beyonce paid $100K for Maryland Metro to run later following weather delays for her concert.”",beyonce paid k for maryland metro to run later following weather delays for her concert
Donald Trump,0,Louis Jacobson,"August 8, 2023","“During Biden’s first 30 months in office, just 2.1 million new jobs were created, and by contrast, during my first 30 months in office we created 4.9 million new jobs.”",during biden s first months in office just million new jobs were created and by contrast during my first months in office we created million new jobs
Kamala Harris,0,Louis Jacobson,"August 8, 2023",“There are polls that also say I have great approval ratings.”,there are polls that also say i have great approval ratings
Viral image,0,Ciara O'Rourke,"August 8, 2023",Video shows a man interrupting Republican presidential candidate Will Hurd on “The View.”,video shows a man interrupting republican presidential candidate will hurd on the view
Viral image,0,Ciara O'Rourke,"August 8, 2023",Video shows President Joe Biden falling asleep “on live TV.”,video shows president joe biden falling asleep on live tv
Facebook posts,1,Loreben Tuquero,"August 8, 2023",“Code red emergency - poison released in the air” affecting 127 million people.,code red emergency poison released in the air affecting million people
Donald Trump,0,Samantha Putterman,"August 8, 2023","Says Gov. Ron DeSantis “opposed my China tariffs and he heartlessly opposed” $28 billion for farm relief, which was paid for by China.",says gov ron desantis opposed my china tariffs and he heartlessly opposed billion for farm relief which was paid for by china
TikTok posts,0,Sara Swann,"August 7, 2023",“Disease X” is “the next plandemic.”,disease x is the next plandemic
Instagram posts,0,Jeff Cercone,"August 7, 2023","""FBI director Wray confirms Joe Biden is under criminal investigation for Ukrainian bribes by the U.S. attorney in Delaware then tries to backpedal.”",fbi director wray confirms joe biden is under criminal investigation for ukrainian bribes by the you s attorney in delaware then tries to backpedal
Facebook posts,0,Madison Czopek,"August 7, 2023",“We’re seeing two massive explosions on U.S. critical infrastructure in the past 24 hours that have caused power outages.”,we are seeing two massive explosions on you s critical infrastructure in the past hours that have caused power outages
Kamala Harris,1,Marta Campabadal,"• August 7,","""Some states have “tried to ban teaching Latino and Hispanic history.”",some states have tried to ban teaching latino and hispanic history
Instagram posts,0,Jeff Cercone,"August 4, 2023",“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,a lot of your chain food restaurants have been using lab grown meat for years
Facebook posts,0,Madison Czopek,"August 3, 2023",Video shows that Attorney General Merrick Garland “cries like kid after Taylor Greene calls out stupid ‘Trump’s Arraignment.’”,video shows that attorney general merrick garland cries like kid after taylor greene calls out stupid trump s arraignment
Instagram posts,0,Sara Swann,"August 3, 2023",“13 nations agree to abolish farming in order to save the planet.”,nations agree to abolish farming in order to save the planet
Facebook posts,0,Marta Campabadal,"• August 3,",“Una aguja puede salvar la vida de una persona teniendo un derrame cerebral”.,una aguja puede salvar la vida de una persona teniendo un derrame cerebral
Joe Biden,1,Louis Jacobson,"August 3, 2023","""Wages are up after being adjusted for inflation.""",wages are up after being adjusted for inflation
Facebook posts,0,Marta Campabadal,"• August 3,","""Carne sintética impresa en 3D para todo el mundo la nueva orden de la ONU para preservar el planeta"".",carne sint tica impresa en d para todo el mundo la nueva orden de la onu para preservar el planeta
Instagram posts,0,Madison Czopek,"August 3, 2023","Nicole Schwab said, “Permanent climate lockdowns coming — whether you like it or not.”",nicole schwab said permanent climate lockdowns coming whether you like it or not
Chris  Coons,1,Louis Jacobson,"August 3, 2023",“Consumer confidence is the highest it’s been in years.”,consumer confidence is the highest it is been in years
Jack Posobiec,0,Madison Czopek,"August 2, 2023","Judge Tanya Chutkan “is the only federal judge in Washington, D.C., who has sentenced Jan. 6 defendants to sentences longer than the government had requested.”",judge tanya chutkan is the only federal judge in washington d c who has sentenced january defendants to sentences longer than the government had requested
Instagram posts,0,Sara Swann,"August 2, 2023",People who received COVID-19 vaccines can “detoxify” their bodies from the spike protein.,people who received covid vaccines can detoxify their bodies from the spike protein
Facebook posts,0,Loreben Tuquero,"August 2, 2023","The White House delivered an “official statement” July 28 that we “need to be getting prepared for something big to happen, potentially to our critical infrastructure.”",the white house delivered an official statement july that we need to be getting prepared for something big to happen potentially to our critical infrastructure
TikTok posts,0,Tom Kertscher,"August 1, 2023",A new law allows people to permanently erase unpaid debt older than two years from their credit records.,a new law allows people to permanently erase unpaid debt older than two years from their credit records
Instagram posts,0,Marta Campabadal,"• August 1,","""Joe Biden no sabía que esta mujer estaba grabando y puedes escucharlo olfatear agresivamente a su pequeño hijo”.",joe biden no sab a que esta mujer estaba grabando y puedes escucharlo olfatear agresivamente a su peque o hijo
